psu,state,locality,latitude,longitude,pop
9620,12,104,10.8729222685152,30.8234666342727,2000
10800,12,102,12.0738679326579,31.5371344123421,2000
10364,12,102,12.2203760244286,31.6331330948,1964
10304,12,102,11.9700852058235,31.5623251546471,1900
10045,12,98,12.1646442536944,30.3091225640556,1900
9700,12,105,10.2303966213333,30.7296473008611,1800
9717,12,105,10.2864751351429,30.6965561614857,1800
10122,12,101,11.3317185077941,32.0828838497647,1800
5311109,12,94,11.0086213823548,29.7293460424839,1500
10032,12,107,11.419246899,29.9974497808788,1500
9980,12,97,12.6548128608333,29.8784130796111,1500
9825,12,106,12.2393517044412,30.8049038807647,1500
9791,12,100,11.8965492405,31.1948007153889,1500
9695,12,105,10.2094767060278,30.7491676078333,1500
10353,12,102,12.1476475229063,31.7606909839688,1500
10836,12,104,10.8798012832941,31.1119479977941,1500
9814,12,100,11.7993913386333,30.9689203930333,1470
9759,12,103,10.6414469506571,30.3795106275143,1425
10272,12,102,11.9519692044722,31.4261708138889,1400
9560,12,99,12.2612514786857,31.0597591596857,1350
9790,12,100,11.8920981572368,31.0120230159211,1250
9971,12,97,12.6823387551892,30.0138855295405,1200
9800,12,100,11.7062599940286,31.1772610283143,1200
9697,12,105,10.209270463375,30.7003244860312,1200
10271,12,102,11.9421938718649,31.7136763192432,1200
10177,12,101,11.4790313195,31.4094734556176,1200
10203,12,101,11.5719964686061,31.2416328109394,1200
9706,12,105,10.2489160818182,30.6919084098485,1080
9826,12,106,12.1684998953548,30.6179234565806,1100
9974,12,97,12.5803789954737,29.9337811164474,1000
9789,12,100,11.8754422340909,31.1230528148485,1000
9527,12,99,12.6141971209706,31.1031546420294,1000
10790,12,100,11.6034755241765,31.0941967556471,1000
10147,12,101,11.4463677648529,31.2414728066471,1000
5311107,12,94,11.0091374778889,29.7156548045333,990
